[2020-08-30 12:48:25] [info]  [ 4900] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 12:48:26] [info]  [ 4900] Installing service 'Tomcat9' name 'Apache Tomcat 9.0 Tomcat9'.
[2020-08-30 12:48:26] [info]  [ 4900] Service 'Tomcat9' installed.
[2020-08-30 12:48:26] [info]  [ 4900] Apache Commons Daemon procrun finished.
[2020-08-30 12:48:27] [info]  [ 9628] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 12:48:27] [info]  [ 9628] Updating service...
[2020-08-30 12:48:27] [info]  [ 9628] Updated service 'Tomcat9'.
[2020-08-30 12:48:28] [info]  [ 9628] Finished updating service 'Tomcat9'.
[2020-08-30 12:48:28] [info]  [ 9628] Apache Commons Daemon procrun finished.
[2020-08-30 12:48:38] [info]  [ 8588] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 12:48:38] [info]  [ 8588] Updating service...
[2020-08-30 12:48:38] [info]  [ 8588] Updated service 'Tomcat9'.
[2020-08-30 12:48:38] [info]  [ 8588] Finished updating service 'Tomcat9'.
[2020-08-30 12:48:38] [info]  [ 8588] Apache Commons Daemon procrun finished.
[2020-08-30 12:48:39] [info]  [ 3544] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 12:48:39] [info]  [ 3544] Updating service...
[2020-08-30 12:48:39] [info]  [ 3544] Updated service 'Tomcat9'.
[2020-08-30 12:48:39] [info]  [ 3544] Finished updating service 'Tomcat9'.
[2020-08-30 12:48:39] [info]  [ 3544] Apache Commons Daemon procrun finished.
[2020-08-30 12:48:39] [info]  [11972] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 12:48:39] [info]  [11972] Updating service...
[2020-08-30 12:48:39] [info]  [11972] Updated service 'Tomcat9'.
[2020-08-30 12:48:39] [info]  [11972] Finished updating service 'Tomcat9'.
[2020-08-30 12:48:39] [info]  [11972] Apache Commons Daemon procrun finished.
[2020-08-30 12:48:40] [info]  [ 9560] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 12:48:40] [info]  [ 9560] Updating service...
[2020-08-30 12:48:40] [info]  [ 9560] Updated service 'Tomcat9'.
[2020-08-30 12:48:40] [info]  [ 9560] Finished updating service 'Tomcat9'.
[2020-08-30 12:48:40] [info]  [ 9560] Apache Commons Daemon procrun finished.
[2020-08-30 12:48:45] [info]  [11612] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 12:48:46] [info]  [11612] Running Service 'Tomcat9'...
[2020-08-30 12:48:46] [info]  [13112] Starting service...
[2020-08-30 12:48:53] [info]  [13112] Service started in 7060 milliseconds.
[2020-08-30 12:55:43] [info]  [13036] Stopping service...
[2020-08-30 12:55:44] [info]  [13036] Service stop thread completed.
[2020-08-30 12:55:45] [info]  [11612] Run service finished.
[2020-08-30 12:55:45] [info]  [11612] Apache Commons Daemon procrun finished.
[2020-08-30 12:55:48] [info]  [12436] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 12:55:48] [info]  [12436] Running Service 'Tomcat9'...
[2020-08-30 12:55:48] [info]  [10232] Starting service...
[2020-08-30 12:55:50] [info]  [10232] Service started in 1480 milliseconds.
[2020-08-30 12:59:57] [info]  [ 1796] Stopping service...
[2020-08-30 12:59:58] [info]  [ 1796] Service stop thread completed.
[2020-08-30 12:59:58] [info]  [12436] Run service finished.
[2020-08-30 12:59:58] [info]  [12436] Apache Commons Daemon procrun finished.
[2020-08-30 13:29:30] [info]  [13264] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 13:29:30] [info]  [13264] Debugging 'Tomcat9' service...
[2020-08-30 13:29:30] [info]  [13264] Starting service...
[2020-08-30 13:29:32] [info]  [13264] Service started in 1616 milliseconds.
[2020-08-30 13:30:53] [info]  [12208] Console CTRL+CLOSE event signaled.
[2020-08-30 13:30:53] [info]  [12208] Stopping service...
[2020-08-30 13:30:54] [info]  [12208] Service stop thread completed.
[2020-08-30 13:35:21] [info]  [ 4556] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 13:35:21] [info]  [ 4556] Running Service 'Tomcat9'...
[2020-08-30 13:35:21] [info]  [ 1048] Starting service...
[2020-08-30 13:35:23] [info]  [ 1048] Service started in 1647 milliseconds.
[2020-08-30 14:13:40] [info]  [12660] Stopping service...
[2020-08-30 14:13:41] [info]  [12660] Service stop thread completed.
[2020-08-30 14:13:41] [info]  [ 4556] Run service finished.
[2020-08-30 14:13:41] [info]  [ 4556] Apache Commons Daemon procrun finished.
[2020-08-30 14:15:45] [info]  [ 5892] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 14:15:45] [info]  [ 5892] Running Service 'Tomcat9'...
[2020-08-30 14:15:45] [info]  [ 8616] Starting service...
[2020-08-30 14:15:46] [info]  [ 8616] Service started in 1503 milliseconds.
[2020-08-30 14:17:54] [info]  [ 4204] Stopping service...
[2020-08-30 14:17:55] [info]  [ 4204] Service stop thread completed.
[2020-08-30 14:17:56] [info]  [ 5892] Run service finished.
[2020-08-30 14:17:56] [info]  [ 5892] Apache Commons Daemon procrun finished.
[2020-08-30 14:19:03] [info]  [ 4284] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 14:19:03] [info]  [ 4284] Running Service 'Tomcat9'...
[2020-08-30 14:19:03] [info]  [ 5096] Starting service...
[2020-08-30 14:19:05] [info]  [ 5096] Service started in 1462 milliseconds.
[2020-08-30 14:20:54] [info]  [ 3320] Stopping service...
[2020-08-30 14:20:55] [info]  [ 3320] Service stop thread completed.
[2020-08-30 14:20:55] [info]  [ 4284] Run service finished.
[2020-08-30 14:20:55] [info]  [ 4284] Apache Commons Daemon procrun finished.
[2020-08-30 14:22:52] [info]  [ 6288] Apache Commons Daemon procrun (1.2.2.0 64-bit) started.
[2020-08-30 14:22:52] [info]  [ 6288] Running Service 'Tomcat9'...
[2020-08-30 14:22:52] [info]  [10896] Starting service...
